discipline,ITEM_Sub_System,SD_Subsystem_Name,PL_Discipline,Category,Total_Issued,Total_Released,Remaining,Issued_Yesterday,Issued_Last_7_Days,Issued_Last_30_Days,Released_Yesterday,Released_Last_7_Days,Released_Last_30_Days,SD_Priority_Code
INSTRUMENT,4000-12,COC Water and Lab Chemical Sump,IN,C,2,0,2,0,2,2,0,0,0,A-1
INSTRUMENT,5000-04,Methanol Product,IN,C,22,9,13,0,2,22,0,9,9,A-1
INSTRUMENT,5000-05,Liquid Off Stream,IN,C,2,0,2,0,0,2,0,0,0,A-1
INSTRUMENT,7000-01,Flare System (In Site),IN,C,7,4,3,0,0,7,0,4,4,A-1
MECHANICAL(STATIC),5000-01,Crude Methanol and Stabilizer & Slope Methanol,MES,A,14,6,8,0,0,0,0,0,0,A-0
MECHANICAL(STATIC),5000-02,Low Pressure (LP) Methanol,MES,A,4,3,1,0,0,0,0,0,0,A-0
MECHANICAL(STATIC),5000-03,Medium Pressure (MP) Methanol,MES,A,10,9,1,0,0,0,0,0,0,A-0
MECHANICAL(STATIC),5000-04,Methanol Product,MES,A,6,0,6,0,0,0,0,0,0,A-1
MECHANICAL(STATIC),5000-01,Crude Methanol and Stabilizer & Slope Methanol,MES,C,55,5,50,0,0,6,0,0,5,A-0
MECHANICAL(STATIC),5000-02,Low Pressure (LP) Methanol,MES,C,80,39,41,0,0,2,0,0,5,A-0
MECHANICAL(STATIC),5000-03,Medium Pressure (MP) Methanol,MES,C,34,2,32,0,0,2,0,0,0,A-0
MECHANICAL(STATIC),5000-04,Methanol Product,MES,C,21,0,21,0,0,0,0,0,0,A-1
MECHANICAL(STATIC),7000-01,Flare System (In Site),MES,C,6,0,6,0,0,0,0,0,0,A-1
PIPING,5000-01,Crude Methanol and Stabilizer & Slope Methanol,PI,A,1,1,0,0,0,0,0,0,0,A-0
PIPING,5000-02,Low Pressure (LP) Methanol,PI,A,5,5,0,0,0,0,0,0,0,A-0
PIPING,5000-03,Medium Pressure (MP) Methanol,PI,A,1,1,0,0,0,0,0,0,0,A-0
PIPING,4000-08,Cooling Water,PI,A,4,4,0,0,0,0,0,0,0,A-1
PIPING,4000-14,Fire Water,PI,A,4,4,0,0,0,0,0,0,0,A-1
PIPING,4000-15,Potable & Service Water,PI,A,2,2,0,0,0,0,0,0,0,A-1
PIPING,5000-04,Methanol Product,PI,A,2,2,0,0,0,0,0,0,0,A-1
PIPING,7000-01,Flare System (In Site),PI,A,1,1,0,0,0,0,0,0,0,A-1
PIPING,4000-01,Nitrogen,PI,B,17,17,0,0,0,0,0,0,0,A-0
PIPING,4000-11,Instrument Air,PI,B,2,2,0,0,0,0,0,0,0,A-0
PIPING,5000-01,Crude Methanol and Stabilizer & Slope Methanol,PI,B,64,63,1,0,0,0,0,0,1,A-0
PIPING,5000-02,Low Pressure (LP) Methanol,PI,B,33,32,1,0,0,0,0,0,0,A-0
PIPING,5000-03,Medium Pressure (MP) Methanol,PI,B,56,56,0,0,0,0,0,0,0,A-0
