ITEM_Sub_System,PL_Discipline,Category,Total_Issued,Total_Released,Remaining,Issued_Today,Issued_Last_7_Days,Issued_Last_30_Days,Released_Today,Released_Last_7_Days,Released_Last_30_Days
1000-03,IN,A,4,0,4,0,2,4,0,0,0
5000-02,MES,C,62,16,46,0,0,2,0,0,0
120-12,EL,A,3,0,3,0,0,0,0,0,0
5000-05,PI,C,22,0,22,0,0,0,0,0,0
3000-04,IN,A,4,0,4,0,0,4,0,0,0
120-06,EL,A,308,177,131,0,0,58,68,169,177
120-17,EL,B,14,0,14,0,0,0,0,0,0
5000-01,MES,C,51,0,51,0,0,5,0,0,0
1000-01,PI,C,37,0,37,0,0,0,0,0,0
3000-03,PI,B,31,12,19,0,0,0,0,0,0
120-05,EL,A,312,207,105,0,0,46,16,125,147
DCS-01,IN,C,249,0,249,0,0,21,0,0,0
5000-04,PI,C,91,0,91,0,0,3,0,0,0
7000-01,PI,B,18,12,6,0,0,0,0,0,0
5000-03,IN,A,207,0,207,0,100,207,0,0,0
LS-09,EL,A,23,0,23,0,0,0,0,0,0
1000-02,IN,A,8,0,8,0,4,8,0,0,0
5000-03,PI,C,78,0,78,0,0,2,0,0,0
LS-08,EL,A,27,0,27,0,0,0,0,0,0
TEL-07,EL,B,45,0,45,0,29,45,0,0,0
120-02,EL,C,352,107,245,0,8,8,20,35,95
LS-01,EL,B,43,17,26,0,0,0,2,2,11
4000-15,PI,A,2,2,0,0,0,0,0,0,0
5000-01,IN,B,25,0,25,2,2,25,0,0,0
2000-05,PI,C,72,0,72,0,0,2,0,0,0
4000-10,PI,C,2,0,2,0,0,0,0,0,0
120-13,EL,C,6,0,6,0,0,6,0,0,0
5000-04,PI,B,30,28,2,0,0,0,0,0,0
7000-01,PI,C,57,1,56,0,0,1,0,0,0
4000-08,PI,A,4,4,0,0,0,0,0,0,0
1000-01,IN,A,3,0,3,0,3,3,0,0,0
3000-01,PI,C,48,0,48,0,0,0,0,0,0
5000-02,MES,B,8,8,0,0,0,0,0,0,0
3000-03,PI,C,67,0,67,0,0,0,0,0,0
2000-06,PI,C,15,0,15,0,0,0,0,0,0
