SD_Sub_System,Discipline_Name,ITEM_Tag_NO,ITEM_Type_Code,PL_Punch_Category,PL_Punch_Description,PL_No
4000-14_UG,PI,61-FW-UG-KC-233,PI_TP,C,SUPPORT GROUTING SHALL BE COMPELETE,PL-01849
4000-09,PI,61-MO-28-UG-KC-199,PI_TP,B,BETWEEN J:9 AND 10 SUPPORT MUST BE ADDED,PL-01843
4000-09,PI,61-WWO-UG-KC-268,PI_TP,C,INSTRUMENT INDICATOR SHALL BE INSTALL,PL-14680
4000-09,PI,61-WWO-UG-KC-268,PI_TP,C,PUMP OUT-PUT GASKET IS TEMPORARY AS PRECOMME NOTE,PL-14681
4000-09,PI,61-WWO-UG-KC-268,PI_TP,C,VALVE SHALL BE LUBRICATE,PL-14682
4000-09,PI,61-WWO-UG-KC-268,PI_TP,C,ORIGINAL B|N|G SHALL BE INSTALL,PL-14683
4000-14_UG,PI,66-FW-UG-110,PI_TP,C,ALL INSTRUMENT DEVICE SHALL BE INSTALL,PL-02114
4000-14_UG,PI,66-FW-UG-110,PI_TP,C,ALL VALVES SHALL BE LUBRICATE,PL-02115
4000-14_UG,PI,66-FW-UG-110,PI_TP,C,"INSULATION KIT (6""-CL-150) SHALL BE INSTALL",PL-02116
4000-14_UG,PI,66-FW-UG-110,PI_TP,C,ALL TEMPORARY GASKET USED FOR FLANGES SHALL BE ORIGINAL REOLACED BEFORE PRECOMM,PL-02117
4000-14_UG,PI,66-FW-UG-110,PI_TP,C,PAVING AND GROUTING OF THE SUPPORTS MUST BE DONE,PL-02118
4000-14_UG,PI,66-FW-UG-110,PI_TP,C,THE WELDENG OF THE FLOOR STAND SUPPORT SHALL BE DONE AFTER PAVING & GROUTING,PL-02119
4000-14_UG,PI,66-FW-UG-114,PI_TP,C,TEMPORARY GASKET INSTALL ACCORDING TO PRECOMM NOTE,PL-01864
4000-14_UG,PI,66-FW-UG-114,PI_TP,C,ORIFICE PLATE DIDN’T INSTALL,PL-01865
4000-14_UG,PI,66-FW-UG-114,PI_TP,C,SUPPORT WELDING SHALL BE DONE AFTER PAVING,PL-01866
4000-14_UG,PI,66-FW-UG-114,PI_TP,C,ALL SUPPORT GROUTING SHALL BE COMPLETE,PL-01867
4000-14_UG,PI,66-FW-UG-138,PI_TP,C,"INSULATION KIT 8""-150# SHALL BE INSTALL BEFORE PRECOMM",PL-02095
4000-14_UG,PI,66-FW-UG-138,PI_TP,C,R.O DIDN’T INSTALL,PL-02096
4000-13,PI,66-PMP-UG-113,PI_TP,C,"ALL INSULATION KIT 4""-CL:150-RF SHALL BE INSTALL",PL-16688
4000-13,PI,66-PMP-UG-KC-226,PI_TP,C,VALVE SHALL BE LUBRICATE,PL-15935
4000-14_UG,PI,67-FW-UG-118,PI_TP,C,TEMPORARY GASKET INSTALL ACCORDING PRECOMM NOTE ON P&ID,PL-01861
4000-14_UG,PI,67-FW-UG-118,PI_TP,C,MESH DIDN’T INSTALL . ORIFICE PLATE DIDN’T INSTALL,PL-01862
4000-14_UG,PI,67-FW-UG-118,PI_TP,C,SUPPORT WELDING SHALL BE COMPELETE AFTER PAVING,PL-01863
4000-14_UG,PI,67-FW-UG-120,PI_TP,C,ORIFICE PLATE DIDN’T INSTALL. SHALL BE INSTALL BEFORE PRECOMM,PL-01856
4000-14_UG,PI,67-FW-UG-120,PI_TP,C,MESH DIDN’T INSTALL. SHALL BE INSTALL JBEFORE PRECOM,PL-01857
