SD_Sub_System,Total_Items,Total_Done,Total_Pending,Remain,Progress_Percentage,Progress_Category,Total_Punch,Total_Clear_Punch,Total_Not_Clear_Punch,FormA,FormB,FormC,FormD,PUNCH-A,PUNCH-B,PUNCH-C
TEL-10,89,0,0,89,0.00%,Below 25%,0,0,0,0,0,0,0,0,0,0
120-01,185,185,0,0,100.00%,Above 70%,2193,2032,161,1,1,0,0,11,114,36
120-13,373,341,32,32,91.42%,Above 70%,482,479,3,1,1,0,0,1,1,1
120-18,32,28,0,4,87.50%,Above 70%,102,92,10,1,1,0,0,3,4,3
4000-09,258,228,7,30,88.37%,Above 70%,154,129,25,1,0,0,0,3,5,17
4000-14,168,160,2,8,95.24%,Above 70%,389,324,65,1,0,0,0,1,27,37
4000-15,61,61,0,0,100.00%,Above 70%,137,87,50,1,0,0,0,0,8,42
BLD-01,18,18,0,0,100.00%,Above 70%,69,51,18,1,1,0,0,10,5,3
ES-05,22,22,0,0,100.00%,Above 70%,45,45,0,1,1,1,0,0,0,0
ES-10,394,394,0,0,100.00%,Above 70%,399,397,2,1,1,0,0,0,1,1
FGS-07,34,0,0,34,0.00%,Below 25%,0,0,0,0,0,0,0,0,0,0
LS-02,58,32,5,26,55.17%,50% to 70%,194,72,122,0,0,0,0,22,71,20
TEL-05,71,7,24,64,9.86%,Below 25%,58,0,58,0,0,0,0,2,13,43
TEL-06,46,0,17,46,0.00%,Below 25%,64,4,60,0,0,0,0,10,16,34
TEL-11,57,0,0,57,0.00%,Below 25%,0,0,0,0,0,0,0,0,0,0
